=== INPUT DATA ===
Chainage: 62.33, Roll: 0, Pitch: -2.624, Yaw: 273.318, Slope: 0
Chainage: 62.33, Roll: 0, Pitch: -2.624, Yaw: 273.318, Slope: 0
Chainage: 62.91, Roll: 0, Pitch: -3.769, Yaw: 278.434, Slope: 0
Chainage: 63.24, Roll: 0, Pitch: -3.769, Yaw: 278.434, Slope: 0
Chainage: 63.56, Roll: 0, Pitch: -3.769, Yaw: 278.434, Slope: 0
Chainage: 64.03, Roll: 0, Pitch: -3.769, Yaw: 278.434, Slope: 0
Chainage: 64.16, Roll: 0, Pitch: -3.769, Yaw: 278.434, Slope: 0
Chainage: 64.23, Roll: 0, Pitch: -3.769, Yaw: 278.434, Slope: 0
Chainage: 64.63, Roll: 0, Pitch: -3.769, Yaw: 278.434, Slope: 0
Chainage: 65.38, Roll: 0, Pitch: -3.769, Yaw: 278.434, Slope: 0
Chainage: 65.79, Roll: 0, Pitch: -3.769, Yaw: 278.434, Slope: 0
Chainage: 65.79, Roll: 0, Pitch: -3.769, Yaw: 278.434, Slope: 0
Chainage: 66.26, Roll: 0, Pitch: -3.769, Yaw: 278.434, Slope: 0
Chainage: 66.47, Roll: 0, Pitch: -3.769, Yaw: 278.434, Slope: 0
Chainage: 66.95, Roll: 0, Pitch: -3.769, Yaw: 278.434, Slope: 0
Chainage: 66.95, Roll: 0, Pitch: -3.769, Yaw: 278.434, Slope: 0
Chainage: 67.44, Roll: 0, Pitch: -3.769, Yaw: 278.434, Slope: 0
Chainage: 68, Roll: 0, Pitch: -3.769, Yaw: 278.434, Slope: 0
Chainage: 68.35, Roll: 0, Pitch: -3.769, Yaw: 278.434, Slope: 0
Chainage: 68.78, Roll: 0, Pitch: -3.769, Yaw: 278.434, Slope: 0
Chainage: 68.78, Roll: 0, Pitch: -3.769, Yaw: 278.434, Slope: 0
Chainage: 68.99, Roll: 0, Pitch: -3.607, Yaw: 276.875, Slope: 0
Chainage: 69.7, Roll: 0, Pitch: -3.607, Yaw: 276.875, Slope: 0
Chainage: 70.27, Roll: 0, Pitch: -3.607, Yaw: 276.875, Slope: 0
Chainage: 70.56, Roll: 0, Pitch: -3.607, Yaw: 276.875, Slope: 0
Chainage: 70.56, Roll: 0, Pitch: -3.607, Yaw: 276.875, Slope: 0
Chainage: 70.78, Roll: 0, Pitch: -3.607, Yaw: 276.875, Slope: 0
Chainage: 71.64, Roll: 0, Pitch: -3.607, Yaw: 276.875, Slope: 0
Chainage: 72.01, Roll: 0, Pitch: -3.607, Yaw: 276.875, Slope: 0
Chainage: 72.22, Roll: 0, Pitch: -3.607, Yaw: 276.875, Slope: 0
Chainage: 72.22, Roll: 0, Pitch: -3.607, Yaw: 276.875, Slope: 0
Chainage: 72.88, Roll: 0, Pitch: -3.607, Yaw: 276.875, Slope: 0
Chainage: 73.17, Roll: 0, Pitch: -3.607, Yaw: 276.875, Slope: 0
Chainage: 73.98, Roll: 0, Pitch: -3.607, Yaw: 276.875, Slope: 0
Chainage: 74.28, Roll: 0, Pitch: -3.607, Yaw: 276.875, Slope: 0
Chainage: 74.28, Roll: 0, Pitch: -3.607, Yaw: 276.875, Slope: 0
Chainage: 74.79, Roll: 0, Pitch: -3.607, Yaw: 276.875, Slope: 0
Chainage: 75.31, Roll: 0, Pitch: -3.607, Yaw: 276.875, Slope: 0
Chainage: 75.75, Roll: 0, Pitch: -3.607, Yaw: 276.875, Slope: 0
Chainage: 75.97, Roll: 0, Pitch: -3.607, Yaw: 276.875, Slope: 0
Chainage: 75.97, Roll: 0, Pitch: -3.607, Yaw: 276.875, Slope: 0
Chainage: 76.57, Roll: 0, Pitch: -2.928, Yaw: 270.423, Slope: 0
Chainage: 77.16, Roll: 0, Pitch: -2.928, Yaw: 270.423, Slope: 0
Chainage: 77.46, Roll: 0, Pitch: -2.928, Yaw: 270.423, Slope: 0
Chainage: 77.76, Roll: 0, Pitch: -2.928, Yaw: 270.423, Slope: 0
Chainage: 78.13, Roll: 0, Pitch: -2.928, Yaw: 270.423, Slope: 0
Chainage: 78.5, Roll: 0, Pitch: -2.928, Yaw: 270.423, Slope: 0
Chainage: 78.8, Roll: 0, Pitch: -2.928, Yaw: 270.423, Slope: 0
Chainage: 79.55, Roll: 0, Pitch: -2.928, Yaw: 270.423, Slope: 0
Chainage: 79.55, Roll: 0, Pitch: -2.928, Yaw: 270.423, Slope: 0
Chainage: 79.92, Roll: 0, Pitch: -2.928, Yaw: 270.423, Slope: 0
Chainage: 80.3, Roll: 0, Pitch: -2.928, Yaw: 270.423, Slope: 0
Chainage: 80.6, Roll: 0, Pitch: -2.928, Yaw: 270.423, Slope: 0
Chainage: 81.35, Roll: 0, Pitch: -2.928, Yaw: 270.423, Slope: 0
Chainage: 81.8, Roll: 0, Pitch: -2.928, Yaw: 270.423, Slope: 0
Chainage: 81.95, Roll: 0, Pitch: -2.928, Yaw: 270.423, Slope: 0
Chainage: 82.55, Roll: 0, Pitch: -2.928, Yaw: 270.423, Slope: 0
Chainage: 82.55, Roll: 0, Pitch: -2.928, Yaw: 270.423, Slope: 0
Chainage: 83.16, Roll: 0, Pitch: -2.928, Yaw: 270.423, Slope: 0
Chainage: 83.31, Roll: 0, Pitch: -2.928, Yaw: 270.423, Slope: 0
Chainage: 83.91, Roll: 0, Pitch: -2.928, Yaw: 270.423, Slope: 0
Chainage: 83.91, Roll: 0, Pitch: -2.74, Yaw: 266.178, Slope: 0
Chainage: 84.59, Roll: 0, Pitch: -2.74, Yaw: 266.178, Slope: 0
Chainage: 84.89, Roll: 0, Pitch: -2.74, Yaw: 266.178, Slope: 0
Chainage: 85.58, Roll: 0, Pitch: -2.74, Yaw: 266.178, Slope: 0
Chainage: 85.73, Roll: 0, Pitch: -2.74, Yaw: 266.178, Slope: 0
Chainage: 85.73, Roll: 0, Pitch: -2.74, Yaw: 266.178, Slope: 0
Chainage: 86.41, Roll: 0, Pitch: -2.74, Yaw: 266.178, Slope: 0
Chainage: 87.03, Roll: 0, Pitch: -2.74, Yaw: 266.178, Slope: 0
Chainage: 87.41, Roll: 0, Pitch: -2.74, Yaw: 266.178, Slope: 0
Chainage: 87.41, Roll: 0, Pitch: -2.74, Yaw: 266.178, Slope: 0
Chainage: 87.72, Roll: 0, Pitch: -2.74, Yaw: 266.178, Slope: 0
Chainage: 88.41, Roll: 0, Pitch: -2.74, Yaw: 266.178, Slope: 0
Chainage: 88.72, Roll: 0, Pitch: -2.74, Yaw: 266.178, Slope: 0
Chainage: 88.72, Roll: 0, Pitch: -2.74, Yaw: 266.178, Slope: 0
Chainage: 89.49, Roll: 0, Pitch: -2.74, Yaw: 266.178, Slope: 0
Chainage: 89.8, Roll: 0, Pitch: -2.74, Yaw: 266.178, Slope: 0
Chainage: 90.34, Roll: 0, Pitch: -2.74, Yaw: 266.178, Slope: 0
Chainage: 90.89, Roll: 0, Pitch: -2.74, Yaw: 266.178, Slope: 0
Chainage: 91.36, Roll: 0, Pitch: -2.74, Yaw: 266.178, Slope: 0
Chainage: 91.36, Roll: 0, Pitch: -2.74, Yaw: 266.178, Slope: 0
Chainage: 91.75, Roll: 0, Pitch: -2.908, Yaw: 264.677, Slope: 0
Chainage: 92.22, Roll: 0, Pitch: -2.908, Yaw: 264.677, Slope: 0
Chainage: 92.77, Roll: 0, Pitch: -2.908, Yaw: 264.677, Slope: 0
Chainage: 93.01, Roll: 0, Pitch: -2.908, Yaw: 264.677, Slope: 0
Chainage: 93.01, Roll: 0, Pitch: -2.908, Yaw: 264.677, Slope: 0
Chainage: 93.4, Roll: 0, Pitch: -2.908, Yaw: 264.677, Slope: 0
Chainage: 94.27, Roll: 0, Pitch: -2.908, Yaw: 264.677, Slope: 0
Chainage: 94.75, Roll: 0, Pitch: -2.908, Yaw: 264.677, Slope: 0
Chainage: 95.23, Roll: 0, Pitch: -2.908, Yaw: 264.677, Slope: 0
Chainage: 95.39, Roll: 0, Pitch: -2.908, Yaw: 264.677, Slope: 0
Chainage: 95.79, Roll: 0, Pitch: -2.908, Yaw: 264.677, Slope: 0
Chainage: 96.19, Roll: 0, Pitch: -2.908, Yaw: 264.677, Slope: 0
Chainage: 96.76, Roll: 0, Pitch: -2.908, Yaw: 264.677, Slope: 0
Chainage: 97.24, Roll: 0, Pitch: -2.908, Yaw: 264.677, Slope: 0
Chainage: 97.24, Roll: 0, Pitch: -2.908, Yaw: 264.677, Slope: 0
Chainage: 97.97, Roll: 0, Pitch: -2.908, Yaw: 264.677, Slope: 0
Chainage: 98.14, Roll: 0, Pitch: -2.908, Yaw: 264.677, Slope: 0
